target distance, reaction time, accuracy
5,7.361225,0.7936255
5,-1,0.3335961
5,-1,0.2821553
5,-1,0.6748272
5,-1,0.1752739
5,-1,0.6075636
5,-1,0.260138
5,-1,0.5668284
5,-1,0.5659394
5,-1,0.5405405
5,-1,0.09979612
5,-1,0.7531712
5,-1,0.7217293
5,-1,0.4057842
5,-1,0.9470165
5,-1,0.7523346
5,-1,0.2131753
5,-1,0.5256547
5,-1,0.9494922
5,-1,0.7644306
5,-1,0.8736211
5,-1,0.8140978
5,-1,0.6578965
5,-1,0.6640992
5,-1,0.6167934
5,-1,0.5932013
5,-1,0.2790484
5,-1,0.239349
5,-1,0.3173922
5,-1,0.6304575
5,-1,0.8784547
5,-1,0.6114758
5,-1,0.2293628
5,-1,0.1234057
5,-1,0.9781311
5,-1,0.6433436
5,-1,0.4637895
5,-1,0.1179587
5,-1,0.5333456
5,2.583618,0.08284849
5,2.26368,0.1616653
5,-1,0.005441129
5,-1,0.4535783
5,-1,0.2849261
5,-1,0.7508104
25,3.222359,0.7936105
25,-1,0.5667086
25,-1,0.1732352
25,-1,0.3931331
25,-1,0.5065067
25,-1,0.3650338
25,-1,0.4301923
25,-1,0.6193796
25,-1,0.9167336
25,-1,0.2087969
25,-1,0.2665977
25,-1,0.1669682
25,-1,0.2433696
25,-1,0.7289254
25,-1,0.2082731
25,-1,0.5801663
25,-1,0.7733905
25,-1,0.2814912
25,4.361206,0.2681518
25,12.9588,0.00404793
25,-1,0.1718248
25,-1,0.1623098
25,-1,0.5032774
25,-1,0.7241648
25,-1,0.8626498
25,-1,0.04057574
