target distance, reaction time, accuracy
5,1.111107,0.724552
10,1.98584,0.3290045
5,1.430603,0.5371388
5,1.37529,0.06337029
5,1.180389,0.388468
5,1.458511,0.6842587
5,1.555557,0.2446141
15,1.582855,0.2371438
15,-1,0.4996207
15,-1,0.4044877
15,-1,0.8663837
15,2.860962,0.1328444
15,-1,0.6967746
15,1.916397,0.1469917
15,-1,0.380511
15,2.277771,0.3113638
15,1.999695,0.8885632
15,2.166901,0.04093838
15,2.277618,0.2177715
15,1.777618,0.3603567
5,5.291565,0.1018643
5,1.375031,0.01327252
5,1.416382,0.1708761
5,1.541656,0.4343838
5,3.555481,0.492317
5,1.513855,0.7786197
5,1.138641,0.08893675
25,3.805359,0.4671876
25,2.874664,0.6912324
15,2.430573,0.4243283
15,1.97229,0.01321572
15,2.542023,0.4235618
15,2.486176,0.8278389
15,2.152588,0.2581666
