target distance, reaction time, accuracy,position
5,-1,0.8331209,ceinture
5,-1,0.5370972,ceinture
5,-1,0.8685066,ceinture
5,-1,0.9439723,ceinture
5,-1,0.8741943,ceinture
5,-1,0.8105286,ceinture
5,-1,0.7981694,ceinture
5,-1,0.9431958,ceinture
5,3.069443,0.7890071,ceinture
5,-1,0.9118717,ceinture
5,2.611099,0.6349683,ceinture
5,-1,0.9380115,ceinture
5,0.6532288,0.8301751,ceinture
25,-1,0.8194118,ceinture
25,-1,0.244377,ceinture
25,3.277344,0.3297811,ceinture
15,2.374969,0.464913,ceinture
5,3.819239,0.02921599,flanc
5,-1,0.4055612,flanc
5,3.305424,0.3930551,flanc
15,4.416115,0.2490177,flanc
15,-1,0.4715247,flanc
15,-1,0.8804343,flanc
15,-1,0.8958057,flanc
15,-1,0.613956,flanc
15,-1,0.251327,flanc
15,-1,0.1843252,flanc
15,-1,0.5147718,flanc
15,-1,0.8194476,flanc
15,-1,0.8275157,flanc
15,-1,0.606475,flanc
