target distance, reaction time, accuracy
5,-1,0.4172212
5,-1,0.5690547
5,-1,0.6761414
5,-1,0.5582106
5,-1,0.5767078
5,-1,0.3835344
5,-1,0.2492909
5,-1,0.7703866
5,-1,0.4919904
5,-1,0.3781197
5,-1,0.3410209
5,-1,0.2370718
5,-1,0.7114953
5,-1,0.6066787
5,-1,0.3063673
5,-1,0.7268002
5,-1,0.9391561
5,-1,0.8603501
5,-1,0.4726987
5,-1,0.6174582
5,-1,0.5628469
5,-1,0.7558628
5,2.083351,0.0424971
5,-1,0.4460337
5,-1,0.69056
5,-1,0.7747402
5,-1,0.7455873
5,-1,0.8428067
5,-1,0.5797386
5,-1,0.757062
5,-1,0.9412934
5,-1,0.8118178
5,-1,0.7993315
5,-1,0.9196016
5,-1,0.953879
5,-1,0.6712408
5,-1,0.6668805
5,-1,0.1848155
5,-1,0.2439873
5,5.88887,0.9389773
5,5.499786,0.8770792
