target distance, reaction time, accuracy
5,-1,0.1079499
5,-1,0.9495746
9,3.041321,0.1673217
9,3.152611,0.3192728
9,-1,0.8201708
17,4.708214,0.08285338
7,2.791824,0.04806888
7,-1,0.6619833
