target distance,reaction time,accuracy,position
5,-1,0.5200259,ceinture
5,-1,0.7276368,ceinture
5,-1,0.7104857,ceinture
5,-1,0.6979399,ceinture
5,-1,0.728358,ceinture
5,-1,0.700487,ceinture
5,-1,0.6746534,ceinture
5,-1,0.7491313,ceinture
5,-1,0.6148803,ceinture
5,-1,0.6834752,ceinture
5,-1,0.4944606,ceinture
5,-1,0.5008551,ceinture
5,-1,0.5215423,ceinture
5,-1,0.5227069,ceinture
5,-1,0.4331002,ceinture
5,-1,0.8885124,ceinture
5,-1,0.4931248,ceinture
5,-1,0.603897,ceinture
5,-1,0.4686774,ceinture
5,-1,0.406019,ceinture
5,-1,0.7383749,ceinture
5,-1,0.6958728,ceinture
5,-1,0.7160705,ceinture
5,-1,0.7043155,ceinture
5,-1,0.7559563,ceinture
5,-1,0.8142002,ceinture
5,-1,0.7512387,ceinture
5,-1,0.7581714,ceinture
5,-1,0.8124483,ceinture
5,-1,0.5372311,ceinture
5,-1,0.4046686,ceinture
5,-1,0.8670557,ceinture
5,-1,0.6415338,ceinture
25,-1,0.6482114,ceinture
25,-1,0.2641032,ceinture
25,-1,0.5295737,ceinture
25,-1,0.7561391,ceinture
25,-1,0.7478565,ceinture
25,-1,0.5480901,ceinture
25,-1,0.328639,ceinture
25,-1,0.2085903,ceinture
25,-1,0.1854303,ceinture
25,-1,0.1182775,ceinture
25,-1,0.5599003,ceinture
25,-1,0.2102482,ceinture
25,-1,0.2217689,ceinture
25,-1,0.2328103,ceinture
25,-1,0.004020751,ceinture
25,-1,0.356903,ceinture
2,-1,0.4556727,ceinture
3,-1,0.7261207,ceinture
3,-1,0.5654503,ceinture
3,-1,0.7421347,ceinture
3,-1,0.8603163,ceinture
5,1.930519,0.5539263,ceinture
5,2.845558,0.7962239,ceinture
5,2.33345,0.1106001,ceinture
15,4.958069,0.191067,ceinture
15,3.749634,0.22686,ceinture
15,2.041656,0.3899212,ceinture
25,4.805893,0.9443277,ceinture
25,3.277649,0.7740303,ceinture
25,2.833069,0.1163414,ceinture
25,-1,0.4647068,ceinture
25,-1,0.4051557,ceinture
25,-1,0.09382254,ceinture
5,2.861053,0.6873431,flanc
5,3.208405,0.3030344,flanc
5,2.624878,0.4321272,flanc
5,2.458557,0.5901674,flanc
15,2.791626,0.3076447,flanc
15,2.041992,0.1971079,flanc
15,2.69104,0.2634515,flanc
15,2.985901,0.1876794,flanc
15,2.805298,0.4701065,flanc
15,-1,0.5126302,flanc
15,-1,0.3674555,flanc
15,-1,0.6504465,flanc
15,-1,0.7874044,flanc
15,-1,0.9758892,flanc
15,-1,0.8575172,flanc
15,-1,0.589105,flanc
15,-1,0.08696461,flanc
