target distance,reaction time,accuracy,position
5,-1,0.4172212,ceinture
5,-1,0.5690547,ceinture
5,-1,0.6761414,ceinture
5,-1,0.5582106,ceinture
5,-1,0.5767078,ceinture
5,-1,0.3835344,ceinture
5,-1,0.2492909,ceinture
5,-1,0.7703866,ceinture
5,-1,0.4919904,ceinture
5,-1,0.3781197,ceinture
5,-1,0.3410209,ceinture
5,-1,0.2370718,ceinture
5,-1,0.7114953,ceinture
5,-1,0.6066787,ceinture
5,-1,0.3063673,ceinture
5,-1,0.7268002,ceinture
5,-1,0.9391561,ceinture
5,-1,0.8603501,ceinture
5,-1,0.4726987,ceinture
5,-1,0.6174582,ceinture
5,-1,0.5628469,ceinture
5,-1,0.7558628,ceinture
5,2.083351,0.0424971,ceinture
5,-1,0.4460337,ceinture
5,-1,0.69056,ceinture
5,-1,0.7747402,ceinture
5,-1,0.7455873,ceinture
5,-1,0.8428067,ceinture
5,-1,0.5797386,ceinture
5,-1,0.757062,ceinture
5,-1,0.9412934,ceinture
5,-1,0.8118178,ceinture
5,-1,0.7993315,ceinture
5,-1,0.9196016,ceinture
5,-1,0.953879,ceinture
5,-1,0.6712408,ceinture
5,-1,0.6668805,ceinture
5,-1,0.1848155,ceinture
5,-1,0.2439873,ceinture
5,5.88887,0.9389773,ceinture
5,5.499786,0.8770792,ceinture
5,2.10532,0.6931298,flanc
5,-1,0.7930479,flanc
5,2.902946,0.4400544,flanc
5,-1,0.8004308,flanc
5,3.444275,0.06072676,flanc
5,-1,0.5071498,flanc
5,-1,0.6854806,flanc
5,-1,0.6482658,flanc
5,-1,0.4762012,flanc
5,40.44345,0.4606791,flanc
5,-1,0.5181295,flanc
5,-1,0.7371572,flanc
5,-1,0.3830364,flanc
5,-1,0.5821795,flanc
